,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
7,jmamaril25,jmamaril25,1,2,0.0,1,1,0.99,novel
182,hihms,hihms,1,2,1.0,1,1,0.01,novel
354,ko68,ko68,1,2,0.0,1,1,0.99,novel
524,Nigogu,Nigogu,1,2,1.0,1,1,0.01,novel
700,alejosaur,alejosaur,1,2,0.0,1,1,0.99,novel
876,pahigueraf,pahigueraf,1,2,0.0,1,1,0.99,novel
1044,mdecloedt,mdecloedt,2,3,1.0,1,2,0.01,novel
1210,Jordan-Loeser,Jordan-Loeser,2,3,0.3333333333333333,1,2,0.6666666666666667,novel
1376,jmamaril25,jmamaril25,2,3,0.5555555555555556,1,2,0.4444444444444444,novel
1540,noah-curran,noah-curran,2,3,1.0,1,2,0.01,novel
1705,matson3,matson3,2,3,1.0,1,2,0.01,novel
1868,littlex2015,littlex2015,2,3,1.0,1,2,0.01,novel
2030,hihms,hihms,2,3,1.0,1,2,0.01,novel
2190,zhao744,zhao744,2,3,1.0,1,2,0.01,novel
2349,ko68,ko68,2,3,0.0,1,2,0.99,novel
2508,Nigogu,Nigogu,2,3,1.0,1,2,0.01,novel
2977,olimita,olimita,2,3,0.0,1,2,0.99,novel
3284,LauraMolina,LauraMolina,2,3,1.0,1,2,0.01,novel
3438,cglaitong,cglaitong,2,3,0.5714285714285714,1,2,0.4285714285714286,novel
3589,BrandonAvilanR,BrandonAvilanR,2,3,0.16666666666666666,1,2,0.8333333333333334,novel
3739,alejosaur,alejosaur,2,3,0.8,1,2,0.19999999999999996,novel
3888,garayf,garayf,2,3,0.0,1,2,0.99,novel
4037,xFortich,xFortich,2,3,0.0,1,2,0.99,novel
4184,davideperdomo,davideperdomo,2,3,0.3333333333333333,1,2,0.6666666666666667,novel
4332,trickyjuggler,trickyjuggler,2,3,0.25,1,2,0.75,novel
4478,jsalcinar,jsalcinar,2,3,0.0,1,2,0.99,novel
4622,Anvido,Anvido,2,3,1.0,1,2,0.01,novel
4765,federgolo,federgolo,2,3,0.0,1,2,0.99,novel
5048,pahigueraf,pahigueraf,2,3,0.16666666666666666,1,2,0.8333333333333334,novel
5326,mdecloedt,mdecloedt,3,4,0.0,1,3,0.99,novel
5464,Jordan-Loeser,Jordan-Loeser,3,4,0.0,1,3,0.99,novel
5601,LukasMMarinovic,LukasMMarinovic,3,4,1.0,1,3,0.01,novel
5738,jmamaril25,jmamaril25,3,4,0.3,1,3,0.7,novel
5874,noah-curran,noah-curran,3,4,0.0,1,3,0.99,novel
6008,bzin22,bzin22,3,4,0.2,1,3,0.8,novel
6141,AkaGar,AkaGar,3,4,1.0,1,3,0.01,novel
6273,matson3,matson3,3,4,1.0,1,3,0.01,novel
6404,ecottle,ecottle,3,4,1.0,1,3,0.01,novel
6534,littlex2015,littlex2015,3,4,0.0,1,3,0.99,novel
6663,nbraunec,nbraunec,3,4,0.2,1,3,0.8,novel
6791,hihms,hihms,3,4,1.0,1,3,0.01,novel
6919,zhao744,zhao744,3,4,1.0,1,3,0.01,novel
7045,ko68,ko68,3,4,0.5,1,3,0.5,novel
7171,gshowal,gshowal,3,4,1.0,1,3,0.01,novel
7295,Nigogu,Nigogu,3,4,0.0,1,3,0.99,novel
7418,daapinzonch,daapinzonch,3,4,0.0,1,3,0.99,novel
7781,olimita,olimita,3,4,0.0,1,3,0.99,novel
7900,Joacampora,Joacampora,3,4,0.2,1,3,0.8,novel
8019,LauraMolina,LauraMolina,3,4,1.0,1,3,0.01,novel
8136,evilcucaracha,evilcucaracha,3,4,1.0,1,3,0.01,novel
8252,JulianM96,JulianM96,3,4,1.0,1,3,0.01,novel
8367,cglaitong,cglaitong,3,4,0.8333333333333334,1,3,0.16666666666666663,novel
8594,alejosaur,alejosaur,3,4,0.5714285714285714,1,3,0.4285714285714286,novel
8706,garayf,garayf,3,4,1.0,1,3,0.01,novel
8817,sebcamacho1703,sebcamacho1703,3,4,0.0,1,3,0.99,novel
8927,xFortich,xFortich,3,4,0.3333333333333333,1,3,0.6666666666666667,novel
9036,davideperdomo,davideperdomo,3,4,0.25,1,3,0.75,novel
9144,ayperezc,ayperezc,3,4,0.0,1,3,0.99,novel
9251,anferoar96,anferoar96,3,4,1.0,1,3,0.01,novel
9357,trickyjuggler,trickyjuggler,3,4,0.6666666666666666,1,3,0.33333333333333337,novel
9462,casc3798,casc3798,3,4,1.0,1,3,0.01,novel
9566,jsalcinar,jsalcinar,3,4,1.0,1,3,0.01,novel
9669,Anvido,Anvido,3,4,0.4,1,3,0.6,novel
9772,federgolo,federgolo,3,4,0.25,1,3,0.75,novel
9973,pahigueraf,pahigueraf,3,4,0.42857142857142855,1,3,0.5714285714285714,novel
10072,mdecloedt,mdecloedt,4,5,0.0,1,4,0.99,novel
10170,Jordan-Loeser,Jordan-Loeser,4,5,0.0,1,4,0.99,novel
10267,LukasMMarinovic,LukasMMarinovic,4,5,1.0,1,4,0.01,novel
10363,whipplem123,whipplem123,4,5,1.0,1,4,0.01,novel
10458,jmamaril25,jmamaril25,4,5,0.09090909090909091,1,4,0.9090909090909091,novel
10552,viswapurdue,viswapurdue,4,5,1.0,1,4,0.01,novel
10646,noah-curran,noah-curran,4,5,1.0,1,4,0.01,novel
10738,bzin22,bzin22,4,5,1.0,1,4,0.01,novel
10829,AkaGar,AkaGar,4,5,0.14285714285714285,1,4,0.8571428571428572,novel
10919,matson3,matson3,4,5,1.0,1,4,0.01,novel
11008,ecottle,ecottle,4,5,1.0,1,4,0.01,novel
11096,littlex2015,littlex2015,4,5,0.0,1,4,0.99,novel
11269,hihms,hihms,4,5,1.0,1,4,0.01,novel
11354,snugghash,snugghash,4,5,0.5,1,4,0.5,novel
11438,zhao744,zhao744,4,5,1.0,1,4,0.01,novel
11521,ko68,ko68,4,5,0.2,1,4,0.8,novel
11603,GeoffYart,GeoffYart,4,5,0.6666666666666666,1,4,0.33333333333333337,novel
11684,gshowal,gshowal,4,5,1.0,1,4,0.01,novel
11764,Nigogu,Nigogu,4,5,0.3333333333333333,1,4,0.6666666666666667,novel
11843,daapinzonch,daapinzonch,4,5,0.2,1,4,0.8,novel
11923,Orloffyeah,Orloffyeah,4,5,1.0,1,4,0.01,novel
12000,DiegoAraque1207,DiegoAraque1207,4,5,1.0,1,4,0.01,novel
12076,olimita,olimita,4,5,0.6666666666666666,1,4,0.33333333333333337,novel
12151,Joacampora,Joacampora,4,5,1.0,1,4,0.01,novel
12299,LauraMolina,LauraMolina,4,5,1.0,1,4,0.01,novel
12442,JulianM96,JulianM96,4,5,1.0,1,4,0.01,novel
12512,cglaitong,cglaitong,4,5,0.7142857142857143,1,4,0.2857142857142857,novel
12581,DaniCastel,DaniCastel,4,5,0.0,1,4,0.99,novel
12649,alejosaur,alejosaur,4,5,0.5714285714285714,1,4,0.4285714285714286,novel
12717,garayf,garayf,4,5,0.5,1,4,0.5,novel
12783,sebcamacho1703,sebcamacho1703,4,5,0.0,1,4,0.99,novel
12848,xFortich,xFortich,4,5,0.3333333333333333,1,4,0.6666666666666667,novel
12913,davideperdomo,davideperdomo,4,5,0.625,1,4,0.375,novel
13037,anferoar96,anferoar96,4,5,1.0,1,4,0.01,novel
13098,trickyjuggler,trickyjuggler,4,5,1.0,1,4,0.01,novel
13158,casc3798,casc3798,4,5,0.0,1,4,0.99,novel
13217,jsalcinar,jsalcinar,4,5,0.25,1,4,0.75,novel
13275,Anvido,Anvido,4,5,0.6,1,4,0.4,novel
13332,Jufcardenasmo,Jufcardenasmo,4,5,1.0,1,4,0.01,novel
13388,federgolo,federgolo,4,5,0.4,1,4,0.6,novel
13443,diefrodriguezcha,diefrodriguezcha,4,5,1.0,1,4,0.01,novel
13498,pahigueraf,pahigueraf,4,5,0.5714285714285714,1,4,0.4285714285714286,novel
