username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,angular,",0.0375,96.25,9,90,70.37%,"1,1,1,1,0,1,1,1,1,",4,80,96.3%,"1.0,1.0,1.0,1.0,0.0,",5,27.77777777777778,96.3%,"1.0,1.0,1.0,1.0,0.0,1.0,",9,39.130434782608695,96.3%,7,1.5555555555555556,81.48%,"3.0,1.0,0.0,;3.0,0.0,0.0,;",25,266.0664251207729,96.3%
Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"jquery,d3,",0.012544802867383513,98.74551971326166,9,90,81.48%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,1.0,0.0,0.0,1.0,",5,21.73913043478261,81.48%,8,1.7777777777777777,88.89%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",22,234.00155836060466,88.89%
LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"jquery,d3,bootstrap,animate,",0.040740740740740744,95.92592592592592,7,70,37.04%,"1,1,0,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,192.6795491143317,37.04%
whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,1,1,1,1,"three,",0.017391304347826087,98.26086956521739,9,90,77.78%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,12,214.3478260869565,66.67%
SionHu,honors0,IH-Project-2017-SionHu_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
jmamaril25,honors0,IH-Project-2017-jmamaril25_webapp_phase3,Wed Nov 15 19:18:47 2017,1,7,"Required Weather API, New York State Career Centers, New York City Farmers Markets, School Safety Report, Zillow Home Value Searching API, New York City Museums, Air Quality, ",1,1,1,1,1,1,1,1,"jquery,materialize,d3,",0.002257336343115124,99.77426636568849,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,15,3.3333333333333335,96.3%,"2.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;3.0,0.0,0.0,;",30,246.58586056858707,92.59%
lennwgs,honors0,IH-Project-2017-lennwgs_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,0,0,1,1,"bootstrap,",0.020833333333333332,97.91666666666666,7,70,40.74%,"0,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,10,194.00362318840578,40.74%
viswapurdue,honors0,IH-Project-2017-viswapurdue_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
CampbellC2,honors0,IH-Project-2017-CampbellC2_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,1,"ember,d3,animate,",0.0932475884244373,90.67524115755627,4,40,22.22%,"0,0,0,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,7,156.7621976792954,22.22%
noah-curran,honors0,IH-Project-2017-noah-curran_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,0,0,0,1,1,"font-awesome,animate,",0.008438818565400843,99.15611814345992,7,70,44.44%,"1,1,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,195.90974133186572,44.44%
laurenjank,honors0,IH-Project-2017-laurenjank_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,0,0,1,1,"jquery,",0.05217391304347826,94.78260869565217,7,70,33.33%,"0,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,10,190.8695652173913,29.63%
bzin22,honors0,IH-Project-2017-bzin22_webapp_phase3,Wed Nov 15 19:18:47 2017,1,5,"Required Weather API, New York City Farmers Markets, New York City Art Galleries, DOHMH New York City Restaurant Inspection Results, Bank-Owned ATM Locations in New York State, ",1,1,1,1,0,0,1,1,"jquery,materialize,animate,",0.04228855721393035,95.77114427860697,8,80,55.56%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,10,2.2222222222222223,92.59%,"2.0,0.0,0.0,;2.0,0.0,0.0,;2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;",21,204.08032302256834,55.56%
AkaGar,honors0,IH-Project-2017-AkaGar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"Neighborhood Tabulation Areas, Housing New York Units by Building, Local Area Unemployment Statistics (LAUS) Seasonally Adjusted Data: Beginning 1976, ",1,1,1,0,1,1,1,1,"three,jquery,react,d3,bootstrap,",0.046511627906976744,95.34883720930233,8,80,51.85%,"0,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"0.0,0.0,0.0,;2.0,0.0,0.0,;1.0,0.0,0.0,;",14,202.10246039770811,51.85%
matson3,honors0,IH-Project-2017-matson3_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,d3,bootstrap,",0.001838235294117647,99.81617647058823,9,90,85.19%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,5,1.1111111111111112,74.07%,"3.0,1.0,1.0,;",17,217.01424410343847,70.37%
ecottle,honors0,IH-Project-2017-ecottle_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,",0.1134020618556701,88.65979381443299,9,90,59.26%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",15,205.41341700283877,59.26%
littlex2015,honors0,IH-Project-2017-littlex2015_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,0,,0.08333333333333333,91.66666666666666,8,80,48.15%,"1,1,1,1,0,1,1,1,0,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",14,198.42028985507244,48.15%
shivans,honors0,IH-Project-2017-shivans_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
nbraunec,honors0,IH-Project-2017-nbraunec_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, Zillow Home Value Searching API, ",1,1,1,1,0,0,1,1,"jquery,d3,",0.0022222222222222222,99.77777777777777,8,80,62.96%,"1,1,1,1,1,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,6,1.3333333333333335,77.78%,"3.0,0.0,0.0,;3.0,0.0,0.0,;",19,224.58937198067633,77.78%
sanjitsama,honors0,IH-Project-2017-sanjitsama_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,1,"font-awesome,jquery,d3,bootstrap,animate,",0.02120141342756184,97.87985865724382,4,40,25.93%,"0,0,0,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,7,163.96681517898293,25.93%
Ilyumzhinov,honors0,IH-Project-2017-Ilyumzhinov_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
hihms,honors0,IH-Project-2017-hihms_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"Required Weather API, ",0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.015463917525773196,98.4536082474227,5,50,29.63%,"0,0,1,1,0,0,0,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",4,22.22222222222222,81.48%,"2.0,0.0,2.0,0.0,0.0,0.0,",5,21.73913043478261,81.48%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",13,192.59853578365457,33.33%
snugghash,honors0,IH-Project-2017-snugghash_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
zhao744,honors0,IH-Project-2017-zhao744_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.009933774834437087,99.00662251655629,10,100,88.89%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",16,225.76024570496207,81.48%
aclipfel,honors0,IH-Project-2017-aclipfel_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,0.0%
ko68,honors0,IH-Project-2017-ko68_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"Required Weather API, Housing New York Units by Building, Total Housing Units By Occupancy Status And Tenure By Borough, New York City Leading Causes of Death, ",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.005813953488372093,99.4186046511628,10,100,92.59%,"1,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,7,1.5555555555555556,81.48%,"2.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",20,227.06111672845748,85.19%
GeoffYart,honors0,IH-Project-2017-GeoffYart_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.05,95.0,9,90,66.67%,"0,1,1,1,1,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,22.22%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,22.22%,0,0.0,0.0%,,12,211.08695652173913,62.96%
gshowal,honors0,IH-Project-2017-gshowal_webapp_phase3,Wed Nov 15 19:18:47 2017,1,1,"Required Weather API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.02054794520547945,97.94520547945206,9,90,74.07%,"1,1,1,1,0,1,1,1,1,",1,20,22.22%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,77.78%,"1.0,1.0,1.0,0.0,0.0,0.0,",4,17.391304347826086,77.78%,3,0.6666666666666667,44.44%,"3.0,0.0,0.0,;",16,223.3944808417709,74.07%
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.009836065573770493,99.01639344262296,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,3,0.6666666666666667,85.19%,"3.0,0.0,0.0,;",15,215.77001663102874,88.89%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"Housing New York Units by Building, ",1,0,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.0,100.0,5,50,59.26%,"0,1,0,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,51.85%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,51.85%,1,0.2222222222222222,74.07%,"1.0,0.0,0.0,;",9,176.30917874396135,62.96%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,1,110.0,0.0%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
