Student,group_type,group
mdecloedt,honors,0
Jordan-Loeser,honors,0
LukasMMarinovic,honors,0
whipplem123,honors,0
SionHu,honors,0
jmamaril25,honors,0
lennwgs,honors,0
viswapurdue,honors,0
CampbellC2,honors,0
noah-curran,honors,0
laurenjank,honors,0
bzin22,honors,0
AkaGar,honors,0
matson3,honors,0
ecottle,honors,0
littlex2015,honors,0
shivans,honors,0
nbraunec,honors,0
sanjitsama,honors,0
Ilyumzhinov,honors,0
hihms,honors,0
snugghash,honors,0
zhao744,honors,0
aclipfel,honors,0
ko68,honors,0
GeoffYart,honors,0
jmhunter4711,honors,0
Nigogu,unal,0
Daryhez,unal,0
daapinzonch,unal,0
fewilchesc,unal,0
JorgeTorresC,unal,0
anythinglord,unal,0
criscapunal,unal,0
dieguischa,unal,0
Orloffyeah,unal,0
SergioLopez40,unal,0
DiegoAraque1207,unal,0
olimita,unal,0
yaochoal,unal,0
Gavnic,unal,0
Joacampora,unal,0
Ozai98,unal,0
nviverosb,unal,0
Sariilan,unal,0
Alekzu,unal,0
vvargasd,unal,0
biherrerap,unal,0
bfprietoc,unal,0
LauraMolina,unal,0
Acreed21,unal,0
Camiioo,unal,0
frnkbs,unal,0
Jfcastroh,unal,0
evilcucaracha,unal,1
JulianM96,unal,1
Saariasba,unal,1
tres-iqus,unal,1
cglaitong,unal,1
DaniCastel,unal,1
BrandonAvilanR,unal,1
alejosaur,unal,1
jaasuarezvi,unal,1
jdsolanos,unal,1
DavidsMartinez,unal,1
Biopeligro,unal,1
garayf,unal,1
jaleonro,unal,1
facuellarg,unal,1
Caadiazsi,unal,1
sebcamacho1703,unal,1
xFortich,unal,1
Gusgal03,unal,1
Juankmilo97,unal,1
alebautis,unal,1
sarguellesr,unal,1
davideperdomo,unal,1
JamerMejiaGarcia,unal,1
nikolasto,unal,1
gahormigag,unal,1
ayperezc,unal,1
anferoar96,unal,2
StevenEsmar,unal,2
dcastanedar,unal,2
trickyjuggler,unal,2
DaveValencia,unal,2
csalfonsol,unal,2
tres-xxx,unal,2
buendiagon,unal,2
DSFarfanF,unal,2
jssanchezo,unal,2
bsdiaza,unal,2
casc3798,unal,2
jsalcinar,unal,2
Anvido,unal,2
Jufcardenasmo,unal,2
federgolo,unal,2
serbatero,unal,2
GabrielUnal,unal,2
diefrodriguezcha,unal,2
adcorredorm,unal,2
jdgaitanf,unal,2
pahigueraf,unal,2
RafaelCruz15,unal,2
gimg1859,unal,2
jannMorenoJ,unal,2
dahrojasca,unal,2
FredyRosero,unal,2