,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
0,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase1/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,maps,100.0,100.0,1,Caadiazsi,Caadiazsi,0.0,0.0,1
15,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase1/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,maps,37.4,100.0,1,Joacampora,Joacampora,62.6,0.626,1
30,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase1/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,maps,27.4,34.9,1,Juankmilo97,Juankmilo97,72.6,0.726,1
46,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase1/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,maps,17.3,100.0,1,casc3798,casc3798,82.7,0.827,1
61,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase1/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,maps,100.0,100.0,1,diefrodriguezcha,diefrodriguezcha,0.0,0.0,1
76,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase1/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,maps,100.0,100.0,1,federgolo,federgolo,0.0,0.0,1
105,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,maps,24.4,92.5,1,jaleonro,jaleonro,75.6,0.756,1
120,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,maps,26.2,100.0,1,jsalcinar,jsalcinar,73.8,0.738,1
135,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase1/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,maps,100.0,100.0,1,nviverosb,nviverosb,0.0,0.0,1
150,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase1/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,maps,27.4,52.5,1,olimita,olimita,72.6,0.726,1
179,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase1/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,maps,20.2,100.0,1,serbatero,serbatero,79.8,0.798,1
195,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase1/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,maps,100.0,100.0,1,yaochoal,yaochoal,0.0,0.0,1
196,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase1/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,complete,100.0,100.0,1,Alekzu,Alekzu,0.0,0.0,1
226,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase1/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,complete,73.4,30.0,1,Anvido,Anvido,26.599999999999994,0.266,1
256,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase1/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,complete,40.5,100.0,1,Biopeligro,Biopeligro,59.5,0.595,1
286,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase1/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,complete,100.0,100.0,1,Caadiazsi,Caadiazsi,0.0,0.0,1
316,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase1/index.html,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase2/index.html,complete,51.2,100.0,1,DavidsMartinez,DavidsMartinez,48.8,0.488,1
346,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase1/index.html,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase2/index.html,complete,32.4,100.0,1,DiegoAraque1207,DiegoAraque1207,67.6,0.676,1
376,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase1/index.html,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase2/index.html,complete,100.0,100.0,1,GabrielUnal,GabrielUnal,0.0,0.0,1
406,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gavnic/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gavnic/webapp_phase2/index.html,complete,36.0,100.0,1,Gavnic,Gavnic,64.0,0.64,1
436,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gusgal03/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gusgal03/webapp_phase2/index.html,complete,100.0,100.0,1,Gusgal03,Gusgal03,0.0,0.0,1
466,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase1/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,complete,81.7,100.0,1,Joacampora,Joacampora,18.299999999999997,0.183,1
496,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase1/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,complete,29.2,49.8,1,Juankmilo97,Juankmilo97,70.8,0.708,1
526,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase2/index.html,complete,19.9,16.4,1,Jufcardenasmo,Jufcardenasmo,80.1,0.801,1
556,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ozai98/webapp_phase1/index.html,http://www.ironhacks.com/preview/Ozai98/webapp_phase2/index.html,complete,100.0,100.0,1,Ozai98,Ozai98,0.0,0.0,1
586,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Sariilan/webapp_phase1/index.html,http://www.ironhacks.com/preview/Sariilan/webapp_phase2/index.html,complete,100.0,100.0,1,Sariilan,Sariilan,0.0,0.0,1
616,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bsdiaza/webapp_phase1/index.html,http://www.ironhacks.com/preview/bsdiaza/webapp_phase2/index.html,complete,100.0,100.0,1,bsdiaza,bsdiaza,0.0,0.0,1
646,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase1/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,complete,11.9,37.7,1,casc3798,casc3798,88.1,0.881,1
676,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase1/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,complete,36.6,100.0,1,diefrodriguezcha,diefrodriguezcha,63.4,0.634,1
706,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/facuellarg/webapp_phase1/index.html,http://www.ironhacks.com/preview/facuellarg/webapp_phase2/index.html,complete,27.5,100.0,1,facuellarg,facuellarg,72.5,0.725,1
736,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase1/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,complete,91.1,100.0,1,federgolo,federgolo,8.900000000000006,0.089,1
766,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/garayf/webapp_phase1/index.html,http://www.ironhacks.com/preview/garayf/webapp_phase2/index.html,complete,90.6,100.0,1,garayf,garayf,9.400000000000006,0.094,1
796,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,complete,83.7,100.0,1,jaleonro,jaleonro,16.299999999999997,0.163,1
826,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,complete,81.6,100.0,1,jsalcinar,jsalcinar,18.400000000000006,0.184,1
856,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jssanchezo/webapp_phase1/index.html,http://www.ironhacks.com/preview/jssanchezo/webapp_phase2/index.html,complete,100.0,100.0,1,jssanchezo,jssanchezo,0.0,0.0,1
886,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase1/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,complete,99.2,100.0,1,nviverosb,nviverosb,0.7999999999999972,0.008,1
916,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase1/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,complete,32.4,100.0,1,olimita,olimita,67.6,0.676,1
946,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase1/index.html,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase2/index.html,complete,44.5,100.0,1,sebcamacho1703,sebcamacho1703,55.5,0.555,1
976,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase1/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,complete,30.4,98.0,1,serbatero,serbatero,69.6,0.696,1
1006,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase1/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,complete,62.6,45.3,1,xFortich,xFortich,37.4,0.374,1
1036,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase1/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,complete,86.5,100.0,1,yaochoal,yaochoal,13.5,0.135,1
1037,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase1/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,simple,100.0,100.0,1,Alekzu,Alekzu,0.0,0.0,1
1067,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase1/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,simple,73.4,30.0,1,Anvido,Anvido,26.599999999999994,0.266,1
1097,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase1/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,simple,40.5,100.0,1,Biopeligro,Biopeligro,59.5,0.595,1
1127,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase1/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,simple,100.0,100.0,1,Caadiazsi,Caadiazsi,0.0,0.0,1
1157,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase1/index.html,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase2/index.html,simple,51.2,100.0,1,DavidsMartinez,DavidsMartinez,48.8,0.488,1
1187,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase1/index.html,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase2/index.html,simple,32.4,100.0,1,DiegoAraque1207,DiegoAraque1207,67.6,0.676,1
1217,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase1/index.html,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase2/index.html,simple,100.0,100.0,1,GabrielUnal,GabrielUnal,0.0,0.0,1
1247,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gavnic/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gavnic/webapp_phase2/index.html,simple,36.0,100.0,1,Gavnic,Gavnic,64.0,0.64,1
1277,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gusgal03/webapp_phase1/index.html,http://www.ironhacks.com/preview/Gusgal03/webapp_phase2/index.html,simple,100.0,100.0,1,Gusgal03,Gusgal03,0.0,0.0,1
1307,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase1/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,simple,50.3,29.8,1,Joacampora,Joacampora,49.7,0.497,1
1337,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase1/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,simple,44.5,38.0,1,Juankmilo97,Juankmilo97,55.5,0.555,1
1367,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase2/index.html,simple,9.7,12.1,1,Jufcardenasmo,Jufcardenasmo,90.3,0.903,1
1397,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ozai98/webapp_phase1/index.html,http://www.ironhacks.com/preview/Ozai98/webapp_phase2/index.html,simple,100.0,100.0,1,Ozai98,Ozai98,0.0,0.0,1
1427,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Sariilan/webapp_phase1/index.html,http://www.ironhacks.com/preview/Sariilan/webapp_phase2/index.html,simple,100.0,100.0,1,Sariilan,Sariilan,0.0,0.0,1
1457,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bsdiaza/webapp_phase1/index.html,http://www.ironhacks.com/preview/bsdiaza/webapp_phase2/index.html,simple,100.0,100.0,1,bsdiaza,bsdiaza,0.0,0.0,1
1487,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase1/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,simple,13.6,84.5,1,casc3798,casc3798,86.4,0.864,1
1517,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase1/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,simple,39.7,100.0,1,diefrodriguezcha,diefrodriguezcha,60.3,0.603,1
1547,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/facuellarg/webapp_phase1/index.html,http://www.ironhacks.com/preview/facuellarg/webapp_phase2/index.html,simple,27.5,100.0,1,facuellarg,facuellarg,72.5,0.725,1
1577,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase1/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,simple,91.1,97.0,1,federgolo,federgolo,8.900000000000006,0.089,1
1607,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/garayf/webapp_phase1/index.html,http://www.ironhacks.com/preview/garayf/webapp_phase2/index.html,simple,97.6,100.0,1,garayf,garayf,2.4000000000000057,0.024,1
1637,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase1/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,simple,98.4,100.0,1,jaleonro,jaleonro,1.5999999999999943,0.016,1
1667,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase1/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,simple,84.2,100.0,1,jsalcinar,jsalcinar,15.799999999999997,0.158,1
1697,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jssanchezo/webapp_phase1/index.html,http://www.ironhacks.com/preview/jssanchezo/webapp_phase2/index.html,simple,100.0,100.0,1,jssanchezo,jssanchezo,0.0,0.0,1
1728,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase1/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,simple,88.3,100.0,1,olimita,olimita,11.700000000000003,0.117,1
1758,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase1/index.html,http://www.ironhacks.com/preview/sebcamacho1703/webapp_phase2/index.html,simple,10.7,100.0,1,sebcamacho1703,sebcamacho1703,89.3,0.893,1
1788,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase1/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,simple,65.5,80.7,1,serbatero,serbatero,34.5,0.345,1
1818,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase1/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,simple,96.2,66.5,1,xFortich,xFortich,3.799999999999997,0.038,1
1848,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase1/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,simple,96.8,100.0,1,yaochoal,yaochoal,3.200000000000003,0.032,1
1867,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase3/index.html,maps,28.4,44.8,2,Joacampora,Joacampora,71.6,0.716,1
1884,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase3/index.html,maps,100.0,100.0,2,Juankmilo97,Juankmilo97,0.0,0.0,1
1918,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/casc3798/webapp_phase2/index.html,http://www.ironhacks.com/preview/casc3798/webapp_phase3/index.html,maps,100.0,100.0,2,casc3798,casc3798,0.0,0.0,1
1935,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase2/index.html,http://www.ironhacks.com/preview/diefrodriguezcha/webapp_phase3/index.html,maps,85.0,100.0,2,diefrodriguezcha,diefrodriguezcha,15.0,0.15,1
1952,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/federgolo/webapp_phase2/index.html,http://www.ironhacks.com/preview/federgolo/webapp_phase3/index.html,maps,21.0,43.1,2,federgolo,federgolo,79.0,0.79,1
1969,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaleonro/webapp_phase2/index.html,http://www.ironhacks.com/preview/jaleonro/webapp_phase3/index.html,maps,83.8,98.4,2,jaleonro,jaleonro,16.200000000000003,0.162,1
1986,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jsalcinar/webapp_phase2/index.html,http://www.ironhacks.com/preview/jsalcinar/webapp_phase3/index.html,maps,25.9,100.0,2,jsalcinar,jsalcinar,74.1,0.741,1
2003,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nviverosb/webapp_phase2/index.html,http://www.ironhacks.com/preview/nviverosb/webapp_phase3/index.html,maps,100.0,100.0,2,nviverosb,nviverosb,0.0,0.0,1
2020,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/olimita/webapp_phase2/index.html,http://www.ironhacks.com/preview/olimita/webapp_phase3/index.html,maps,100.0,100.0,2,olimita,olimita,0.0,0.0,1
2038,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/serbatero/webapp_phase2/index.html,http://www.ironhacks.com/preview/serbatero/webapp_phase3/index.html,maps,100.0,100.0,2,serbatero,serbatero,0.0,0.0,1
2055,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/xFortich/webapp_phase2/index.html,http://www.ironhacks.com/preview/xFortich/webapp_phase3/index.html,maps,22.4,100.0,2,xFortich,xFortich,77.6,0.776,1
2072,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/yaochoal/webapp_phase2/index.html,http://www.ironhacks.com/preview/yaochoal/webapp_phase3/index.html,maps,100.0,100.0,2,yaochoal,yaochoal,0.0,0.0,1
2073,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Alekzu/webapp_phase2/index.html,http://www.ironhacks.com/preview/Alekzu/webapp_phase3/index.html,complete,26.9,100.0,2,Alekzu,Alekzu,73.1,0.731,1
2103,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Anvido/webapp_phase2/index.html,http://www.ironhacks.com/preview/Anvido/webapp_phase3/index.html,complete,18.7,100.0,2,Anvido,Anvido,81.3,0.813,1
2133,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Biopeligro/webapp_phase2/index.html,http://www.ironhacks.com/preview/Biopeligro/webapp_phase3/index.html,complete,40.5,100.0,2,Biopeligro,Biopeligro,59.5,0.595,1
2163,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase2/index.html,http://www.ironhacks.com/preview/Caadiazsi/webapp_phase3/index.html,complete,45.0,100.0,2,Caadiazsi,Caadiazsi,55.0,0.55,1
2193,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase2/index.html,http://www.ironhacks.com/preview/DavidsMartinez/webapp_phase3/index.html,complete,100.0,100.0,2,DavidsMartinez,DavidsMartinez,0.0,0.0,1
2223,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase2/index.html,http://www.ironhacks.com/preview/DiegoAraque1207/webapp_phase3/index.html,complete,28.2,100.0,2,DiegoAraque1207,DiegoAraque1207,71.8,0.718,1
2253,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase2/index.html,http://www.ironhacks.com/preview/GabrielUnal/webapp_phase3/index.html,complete,38.8,100.0,2,GabrielUnal,GabrielUnal,61.2,0.612,1
2283,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gavnic/webapp_phase2/index.html,http://www.ironhacks.com/preview/Gavnic/webapp_phase3/index.html,complete,36.5,100.0,2,Gavnic,Gavnic,63.5,0.635,1
2313,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Gusgal03/webapp_phase2/index.html,http://www.ironhacks.com/preview/Gusgal03/webapp_phase3/index.html,complete,46.9,100.0,2,Gusgal03,Gusgal03,53.1,0.531,1
2343,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Joacampora/webapp_phase2/index.html,http://www.ironhacks.com/preview/Joacampora/webapp_phase3/index.html,complete,74.9,100.0,2,Joacampora,Joacampora,25.099999999999994,0.251,1
2373,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase2/index.html,http://www.ironhacks.com/preview/Juankmilo97/webapp_phase3/index.html,complete,17.9,100.0,2,Juankmilo97,Juankmilo97,82.1,0.821,1
2403,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase2/index.html,http://www.ironhacks.com/preview/Jufcardenasmo/webapp_phase3/index.html,complete,48.6,99.0,2,Jufcardenasmo,Jufcardenasmo,51.4,0.514,1
