,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
0,0,diefrodriguezcha,diefrodriguezcha,31.818181818181817,1,functions,2,,0.318182
1,1,adcorredorm,adcorredorm,27.27272727272727,1,functions,2,,0.272727
2,2,DaveValencia,DaveValencia,100.0,1,functions,2,,1.0
3,3,pahigueraf,pahigueraf,48.48484848484848,1,functions,2,,0.484848
4,4,jannMorenoJ,jannMorenoJ,36.0,1,functions,2,,0.36
5,5,trickyjuggler,trickyjuggler,12.195121951219512,1,functions,2,,0.121951
6,6,casc3798,casc3798,63.63636363636363,1,functions,2,,0.636364
7,7,csalfonsol,csalfonsol,40.0,1,functions,2,,0.4
8,8,jsalcinar,jsalcinar,17.857142857142858,1,functions,2,,0.178571
9,9,jdgaitanf,jdgaitanf,18.75,1,functions,2,,0.1875
10,10,DSFarfanF,DSFarfanF,100.0,1,functions,2,,1.0
11,11,GabrielUnal,GabrielUnal,100.0,1,functions,2,,1.0
12,12,buendiagon,buendiagon,100.0,1,functions,2,,1.0
13,13,Anvido,Anvido,34.88372093023256,1,functions,2,,0.348837
14,14,dcastanedar,dcastanedar,100.0,1,functions,2,,1.0
15,15,federgolo,federgolo,16.666666666666664,1,functions,2,,0.166667
16,16,RafaelCruz15,RafaelCruz15,85.71428571428571,1,functions,2,,0.857143
17,17,Jufcardenasmo,Jufcardenasmo,33.33333333333333,1,functions,2,,0.333333
18,18,bsdiaza,bsdiaza,100.0,1,functions,2,,1.0
19,19,gimg1859,gimg1859,100.0,2,functions,2,,1.0
20,20,FredyRosero,FredyRosero,42.45283018867924,2,functions,2,,0.424528
21,21,StevenEsmar,StevenEsmar,33.33333333333333,2,functions,2,,0.333333
22,22,serbatero,serbatero,100.0,2,functions,2,,1.0
23,23,adcorredorm,adcorredorm,27.27272727272727,2,functions,2,,0.272727
24,24,DaveValencia,DaveValencia,100.0,2,functions,2,,1.0
25,25,diefrodriguezcha,diefrodriguezcha,13.636363636363637,2,functions,2,,0.136364
26,26,trickyjuggler,trickyjuggler,44.5945945945946,2,functions,2,,0.445946
27,27,jannMorenoJ,jannMorenoJ,11.538461538461538,2,functions,2,,0.115385
28,28,casc3798,casc3798,35.714285714285715,2,functions,2,,0.357143
29,29,buendiagon,buendiagon,100.0,2,functions,2,,1.0
30,30,DSFarfanF,DSFarfanF,100.0,2,functions,2,,1.0
31,31,GabrielUnal,GabrielUnal,100.0,2,functions,2,,1.0
32,32,jsalcinar,jsalcinar,22.448979591836736,2,functions,2,,0.22449
33,33,jdgaitanf,jdgaitanf,60.0,2,functions,2,,0.6
34,34,RafaelCruz15,RafaelCruz15,37.5,2,functions,2,,0.375
35,35,gimg1859,gimg1859,100.0,3,functions,2,,1.0
36,36,StevenEsmar,StevenEsmar,33.33333333333333,3,functions,2,,0.333333
37,37,jssanchezo,jssanchezo,100.0,3,functions,2,,1.0
38,38,serbatero,serbatero,37.5,3,functions,2,,0.375
39,39,jannMorenoJ,jannMorenoJ,100.0,3,functions,2,,1.0
40,40,dcastanedar,dcastanedar,100.0,3,functions,2,,1.0
41,41,DSFarfanF,DSFarfanF,100.0,3,functions,2,,1.0
42,42,GabrielUnal,GabrielUnal,6.8181818181818175,3,functions,2,,0.068182
43,43,jdgaitanf,jdgaitanf,11.538461538461538,3,functions,2,,0.115385
44,44,Jufcardenasmo,Jufcardenasmo,21.686746987951807,3,functions,2,,0.216867
45,45,RafaelCruz15,RafaelCruz15,100.0,3,functions,2,,1.0
46,46,dahrojasca,dahrojasca,28.57142857142857,4,functions,2,,0.285714
47,47,jssanchezo,jssanchezo,100.0,4,functions,2,,1.0
48,48,anferoar96,anferoar96,100.0,4,functions,2,,1.0
49,49,pahigueraf,pahigueraf,78.3068783068783,4,functions,2,,0.783069
50,50,csalfonsol,csalfonsol,57.971014492753625,4,functions,2,,0.57971
51,51,federgolo,federgolo,40.67796610169492,4,functions,2,,0.40678
52,52,dcastanedar,dcastanedar,100.0,4,functions,2,,1.0
53,53,Anvido,Anvido,70.17543859649122,4,functions,2,,0.701754
54,54,bsdiaza,bsdiaza,100.0,4,functions,2,,1.0
55,55,Jufcardenasmo,Jufcardenasmo,90.58823529411764,4,functions,2,,0.905882
56,56,Acreed21,Acreed21,71.3,1,complete,2,,0.713
57,57,Camiioo,Camiioo,50.7,1,complete,2,,0.507
58,58,FredyRosero,FredyRosero,96.0,1,complete,2,,0.96
59,59,JamerMejiaGarcia,JamerMejiaGarcia,60.7,1,complete,2,,0.607
60,60,Jfcastroh,Jfcastroh,0.0,1,complete,2,,0.0
61,61,LauraMolina,LauraMolina,64.2,1,complete,2,,0.642
62,62,RafaelCruz15,RafaelCruz15,67.8,1,complete,2,,0.678
63,63,adcorredorm,adcorredorm,62.7,1,complete,2,,0.627
64,64,alebautis,alebautis,0.0,1,complete,2,,0.0
65,65,ayperezc,ayperezc,47.9,1,complete,2,,0.479
66,66,bfprietoc,bfprietoc,0.0,1,complete,2,,0.0
67,67,biherrerap,biherrerap,88.3,1,complete,2,,0.883
68,68,dahrojasca,dahrojasca,84.0,1,complete,2,,0.84
69,69,davideperdomo,davideperdomo,56.1,1,complete,2,,0.561
70,70,frnkbs,frnkbs,43.9,1,complete,2,,0.439
71,71,gahormigag,gahormigag,0.0,1,complete,2,,0.0
72,72,ironhacktech2,ironhacktech2,0.0,1,complete,2,,0.0
73,73,jannMorenoJ,jannMorenoJ,4.900000000000006,1,complete,2,,0.049
74,74,jdgaitanf,jdgaitanf,94.2,1,complete,2,,0.942
75,75,nikolasto,nikolasto,58.0,1,complete,2,,0.58
76,76,pahigueraf,pahigueraf,65.9,1,complete,2,,0.659
77,77,sarguellesr,sarguellesr,72.4,1,complete,2,,0.724
78,78,uxjudges1,uxjudges1,98.5,1,complete,2,,0.985
79,79,uxjudges,uxjudges,0.0,1,complete,2,,0.0
80,80,vvargasd,vvargasd,0.0,1,complete,2,,0.0
81,81,Acreed21,Acreed21,0.0,2,complete,2,,0.0
82,82,Camiioo,Camiioo,74.6,2,complete,2,,0.746
83,83,FredyRosero,FredyRosero,89.4,2,complete,2,,0.894
84,84,JamerMejiaGarcia,JamerMejiaGarcia,0.0,2,complete,2,,0.0
85,85,Jfcastroh,Jfcastroh,0.0,2,complete,2,,0.0
86,86,LauraMolina,LauraMolina,0.0,2,complete,2,,0.0
87,87,RafaelCruz15,RafaelCruz15,34.099999999999994,2,complete,2,,0.341
88,88,adcorredorm,adcorredorm,0.0,2,complete,2,,0.0
89,89,alebautis,alebautis,0.0,2,complete,2,,0.0
90,90,ayperezc,ayperezc,0.0,2,complete,2,,0.0
91,91,bfprietoc,bfprietoc,0.0,2,complete,2,,0.0
92,92,biherrerap,biherrerap,0.0,2,complete,2,,0.0
93,93,dahrojasca,dahrojasca,57.9,2,complete,2,,0.579
94,94,davideperdomo,davideperdomo,40.8,2,complete,2,,0.408
95,95,frnkbs,frnkbs,43.9,2,complete,2,,0.439
96,96,gahormigag,gahormigag,0.0,2,complete,2,,0.0
97,97,gimg1859,gimg1859,54.9,2,complete,2,,0.549
98,98,ironhacktech2,ironhacktech2,0.0,2,complete,2,,0.0
99,99,jannMorenoJ,jannMorenoJ,71.9,2,complete,2,,0.719
100,100,jdgaitanf,jdgaitanf,57.0,2,complete,2,,0.57
101,101,nikolasto,nikolasto,41.9,2,complete,2,,0.419
102,102,pahigueraf,pahigueraf,64.7,2,complete,2,,0.647
103,103,sarguellesr,sarguellesr,19.0,2,complete,2,,0.19
104,104,uxjudges1,uxjudges1,0.0,2,complete,2,,0.0
105,105,uxjudges,uxjudges,0.0,2,complete,2,,0.0
106,106,vvargasd,vvargasd,0.0,2,complete,2,,0.0
107,107,Acreed21,Acreed21,0.2000000000000028,3,complete,2,,0.002
108,108,Camiioo,Camiioo,63.6,3,complete,2,,0.636
109,109,FredyRosero,FredyRosero,14.900000000000006,3,complete,2,,0.149
110,110,JamerMejiaGarcia,JamerMejiaGarcia,0.0,3,complete,2,,0.0
111,111,Jfcastroh,Jfcastroh,70.7,3,complete,2,,0.707
112,112,LauraMolina,LauraMolina,8.400000000000006,3,complete,2,,0.084
113,113,RafaelCruz15,RafaelCruz15,0.0,3,complete,2,,0.0
114,114,adcorredorm,adcorredorm,0.0,3,complete,2,,0.0
115,115,alebautis,alebautis,0.0,3,complete,2,,0.0
116,116,ayperezc,ayperezc,18.0,3,complete,2,,0.18
117,117,bfprietoc,bfprietoc,0.0,3,complete,2,,0.0
118,118,biherrerap,biherrerap,66.2,3,complete,2,,0.662
119,119,dahrojasca,dahrojasca,57.9,3,complete,2,,0.579
120,120,davideperdomo,davideperdomo,27.200000000000003,3,complete,2,,0.272
121,121,frnkbs,frnkbs,25.700000000000003,3,complete,2,,0.257
122,122,gahormigag,gahormigag,0.0,3,complete,2,,0.0
123,123,gimg1859,gimg1859,0.0,3,complete,2,,0.0
124,124,ironhacktech2,ironhacktech2,13.099999999999994,3,complete,2,,0.131
125,125,jannMorenoJ,jannMorenoJ,0.0,3,complete,2,,0.0
126,126,jdgaitanf,jdgaitanf,59.0,3,complete,2,,0.59
127,127,nikolasto,nikolasto,67.1,3,complete,2,,0.671
128,128,pahigueraf,pahigueraf,0.0,3,complete,2,,0.0
129,129,sarguellesr,sarguellesr,0.0,3,complete,2,,0.0
130,130,uxjudges1,uxjudges1,0.0,3,complete,2,,0.0
131,131,uxjudges,uxjudges,0.0,3,complete,2,,0.0
132,132,vvargasd,vvargasd,0.0,3,complete,2,,0.0
133,133,Acreed21,Acreed21,66.4,4,complete,2,,0.664
134,134,Camiioo,Camiioo,53.9,4,complete,2,,0.539
135,135,FredyRosero,FredyRosero,49.4,4,complete,2,,0.494
136,136,JamerMejiaGarcia,JamerMejiaGarcia,0.0,4,complete,2,,0.0
137,137,Jfcastroh,Jfcastroh,0.0,4,complete,2,,0.0
138,138,LauraMolina,LauraMolina,8.5,4,complete,2,,0.085
139,139,RafaelCruz15,RafaelCruz15,53.9,4,complete,2,,0.539
140,140,adcorredorm,adcorredorm,32.3,4,complete,2,,0.323
141,141,alebautis,alebautis,0.0,4,complete,2,,0.0
142,142,ayperezc,ayperezc,0.0,4,complete,2,,0.0
143,143,bfprietoc,bfprietoc,0.0,4,complete,2,,0.0
144,144,biherrerap,biherrerap,11.900000000000006,4,complete,2,,0.119
145,145,dahrojasca,dahrojasca,87.5,4,complete,2,,0.875
146,146,davideperdomo,davideperdomo,24.200000000000003,4,complete,2,,0.242
147,147,frnkbs,frnkbs,34.8,4,complete,2,,0.348
148,148,gahormigag,gahormigag,0.0,4,complete,2,,0.0
149,149,gimg1859,gimg1859,67.2,4,complete,2,,0.672
150,150,ironhacktech2,ironhacktech2,13.099999999999994,4,complete,2,,0.131
151,151,jannMorenoJ,jannMorenoJ,0.0,4,complete,2,,0.0
152,152,jdgaitanf,jdgaitanf,59.0,4,complete,2,,0.59
153,153,nikolasto,nikolasto,0.0,4,complete,2,,0.0
154,154,pahigueraf,pahigueraf,30.40000000000001,4,complete,2,,0.304
155,155,sarguellesr,sarguellesr,0.0,4,complete,2,,0.0
156,156,uxjudges1,uxjudges1,0.0,4,complete,2,,0.0
157,157,uxjudges,uxjudges,0.0,4,complete,2,,0.0
158,158,vvargasd,vvargasd,0.0,4,complete,2,,0.0
0,0,Juankmilo97,Juankmilo97,36.36363636363637,1,functions,1,,0.363636
1,1,gahormigag,gahormigag,100.0,1,functions,1,,1.0
2,2,nikolasto,nikolasto,100.0,1,functions,1,,1.0
3,3,evilcucaracha,evilcucaracha,37.5,1,functions,1,,0.375
4,4,JamerMejiaGarcia,JamerMejiaGarcia,100.0,1,functions,1,,1.0
5,5,ayperezc,ayperezc,0.0,1,functions,1,,0.0
6,6,DavidsMartinez,DavidsMartinez,100.0,1,functions,1,,1.0
7,7,sarguellesr,sarguellesr,100.0,1,functions,1,,1.0
8,8,garayf,garayf,9.821428571428571,1,functions,1,,0.098214
9,9,jdsolanos,jdsolanos,100.0,1,functions,1,,1.0
10,10,sebcamacho1703,sebcamacho1703,50.0,1,functions,1,,0.5
11,11,JulianM96,JulianM96,44.44444444444444,1,functions,1,,0.444444
12,12,xFortich,xFortich,15.789473684210526,1,functions,1,,0.157895
13,13,davideperdomo,davideperdomo,32.87671232876712,1,functions,1,,0.328767
14,14,facuellarg,facuellarg,17.647058823529413,2,functions,1,,0.176471
15,15,DaniCastel,DaniCastel,68.18181818181817,2,functions,1,,0.681818
16,16,BrandonAvilanR,BrandonAvilanR,45.10869565217392,2,functions,1,,0.451087
17,17,cglaitong,cglaitong,57.47126436781609,2,functions,1,,0.574713
18,18,jaleonro,jaleonro,100.0,2,functions,1,,1.0
19,19,alebautis,alebautis,100.0,2,functions,1,,1.0
20,20,Juankmilo97,Juankmilo97,96.96969696969695,2,functions,1,,0.969697
21,21,DavidsMartinez,DavidsMartinez,100.0,2,functions,1,,1.0
22,22,ayperezc,ayperezc,100.0,2,functions,1,,1.0
23,23,JamerMejiaGarcia,JamerMejiaGarcia,100.0,2,functions,1,,1.0
24,24,sebcamacho1703,sebcamacho1703,14.285714285714285,2,functions,1,,0.142857
25,25,JulianM96,JulianM96,73.91304347826086,2,functions,1,,0.73913
26,26,facuellarg,facuellarg,17.647058823529413,3,functions,1,,0.176471
27,27,DaniCastel,DaniCastel,23.728813559322035,3,functions,1,,0.237288
28,28,Gusgal03,Gusgal03,100.0,3,functions,1,,1.0
29,29,Caadiazsi,Caadiazsi,100.0,3,functions,1,,1.0
30,30,BrandonAvilanR,BrandonAvilanR,1.7142857142857144,3,functions,1,,0.017143
31,31,cglaitong,cglaitong,89.69072164948454,3,functions,1,,0.896907
32,32,alebautis,alebautis,100.0,3,functions,1,,1.0
33,33,nikolasto,nikolasto,12.5,3,functions,1,,0.125
34,34,gahormigag,gahormigag,100.0,3,functions,1,,1.0
35,35,Juankmilo97,Juankmilo97,100.0,3,functions,1,,1.0
36,36,sarguellesr,sarguellesr,100.0,3,functions,1,,1.0
37,37,ayperezc,ayperezc,45.09803921568628,3,functions,1,,0.45098
38,38,JamerMejiaGarcia,JamerMejiaGarcia,100.0,3,functions,1,,1.0
39,39,xFortich,xFortich,76.25,3,functions,1,,0.7625
40,40,alejosaur,alejosaur,100.0,4,functions,1,,1.0
41,41,jaasuarezvi,jaasuarezvi,100.0,4,functions,1,,1.0
42,42,Gusgal03,Gusgal03,100.0,4,functions,1,,1.0
43,43,Saariasba,Saariasba,100.0,4,functions,1,,1.0
44,44,Caadiazsi,Caadiazsi,100.0,4,functions,1,,1.0
45,45,Biopeligro,Biopeligro,100.0,4,functions,1,,1.0
46,46,evilcucaracha,evilcucaracha,6.382978723404255,4,functions,1,,0.06383
47,47,nikolasto,nikolasto,100.0,4,functions,1,,1.0
48,48,gahormigag,gahormigag,100.0,4,functions,1,,1.0
49,49,jdsolanos,jdsolanos,28.57142857142857,4,functions,1,,0.285714
50,50,garayf,garayf,72.88135593220339,4,functions,1,,0.728814
51,51,sarguellesr,sarguellesr,100.0,4,functions,1,,1.0
52,52,davideperdomo,davideperdomo,68.72037914691943,4,functions,1,,0.687204
53,53,xFortich,xFortich,100.0,4,functions,1,,1.0
54,54,Alekzu,Alekzu,0.0,1,complete,1,,0.0
55,55,Anvido,Anvido,26.599999999999994,1,complete,1,,0.266
56,56,Biopeligro,Biopeligro,59.5,1,complete,1,,0.595
57,57,Caadiazsi,Caadiazsi,0.0,1,complete,1,,0.0
58,58,DavidsMartinez,DavidsMartinez,48.8,1,complete,1,,0.488
59,59,DiegoAraque1207,DiegoAraque1207,67.6,1,complete,1,,0.676
60,60,GabrielUnal,GabrielUnal,0.0,1,complete,1,,0.0
61,61,Gavnic,Gavnic,64.0,1,complete,1,,0.64
62,62,Gusgal03,Gusgal03,0.0,1,complete,1,,0.0
63,63,Joacampora,Joacampora,18.3,1,complete,1,,0.183
64,64,Juankmilo97,Juankmilo97,70.8,1,complete,1,,0.708
65,65,Jufcardenasmo,Jufcardenasmo,80.1,1,complete,1,,0.801
66,66,Ozai98,Ozai98,0.0,1,complete,1,,0.0
67,67,Sariilan,Sariilan,0.0,1,complete,1,,0.0
68,68,bsdiaza,bsdiaza,0.0,1,complete,1,,0.0
69,69,casc3798,casc3798,88.1,1,complete,1,,0.881
70,70,diefrodriguezcha,diefrodriguezcha,63.4,1,complete,1,,0.634
71,71,facuellarg,facuellarg,72.5,1,complete,1,,0.725
72,72,federgolo,federgolo,8.900000000000006,1,complete,1,,0.089
73,73,garayf,garayf,9.400000000000006,1,complete,1,,0.094
74,74,jaleonro,jaleonro,16.299999999999997,1,complete,1,,0.163
75,75,jsalcinar,jsalcinar,18.40000000000001,1,complete,1,,0.184
76,76,jssanchezo,jssanchezo,0.0,1,complete,1,,0.0
77,77,nviverosb,nviverosb,0.7999999999999972,1,complete,1,,0.008
78,78,olimita,olimita,67.6,1,complete,1,,0.676
79,79,sebcamacho1703,sebcamacho1703,55.5,1,complete,1,,0.555
80,80,serbatero,serbatero,69.6,1,complete,1,,0.696
81,81,xFortich,xFortich,37.4,1,complete,1,,0.374
82,82,yaochoal,yaochoal,13.5,1,complete,1,,0.135
83,83,Alekzu,Alekzu,73.1,2,complete,1,,0.731
84,84,Anvido,Anvido,81.3,2,complete,1,,0.813
85,85,Biopeligro,Biopeligro,59.5,2,complete,1,,0.595
86,86,Caadiazsi,Caadiazsi,55.0,2,complete,1,,0.55
87,87,DavidsMartinez,DavidsMartinez,0.0,2,complete,1,,0.0
88,88,DiegoAraque1207,DiegoAraque1207,71.8,2,complete,1,,0.718
89,89,GabrielUnal,GabrielUnal,61.2,2,complete,1,,0.612
90,90,Gavnic,Gavnic,63.5,2,complete,1,,0.635
91,91,Gusgal03,Gusgal03,53.1,2,complete,1,,0.531
92,92,Joacampora,Joacampora,25.099999999999994,2,complete,1,,0.251
93,93,Juankmilo97,Juankmilo97,82.1,2,complete,1,,0.821
94,94,Jufcardenasmo,Jufcardenasmo,51.4,2,complete,1,,0.514
95,95,Ozai98,Ozai98,80.9,2,complete,1,,0.809
96,96,Sariilan,Sariilan,0.0,2,complete,1,,0.0
97,97,bsdiaza,bsdiaza,66.0,2,complete,1,,0.66
98,98,casc3798,casc3798,4.099999999999994,2,complete,1,,0.041
