,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
99,99,diefrodriguezcha,diefrodriguezcha,14.5,2,complete,1,,0.145
100,100,facuellarg,facuellarg,72.4,2,complete,1,,0.724
101,101,federgolo,federgolo,71.5,2,complete,1,,0.715
102,102,garayf,garayf,0.0,2,complete,1,,0.0
103,103,jaleonro,jaleonro,0.5999999999999943,2,complete,1,,0.006
104,104,jsalcinar,jsalcinar,25.700000000000003,2,complete,1,,0.257
105,105,jssanchezo,jssanchezo,0.0,2,complete,1,,0.0
106,106,nviverosb,nviverosb,0.0,2,complete,1,,0.0
107,107,olimita,olimita,1.5999999999999943,2,complete,1,,0.016
108,108,sebcamacho1703,sebcamacho1703,88.6,2,complete,1,,0.886
109,109,serbatero,serbatero,0.5999999999999943,2,complete,1,,0.006
110,110,xFortich,xFortich,6.200000000000003,2,complete,1,,0.062
111,111,yaochoal,yaochoal,1.7000000000000028,2,complete,1,,0.017
112,112,Alekzu,Alekzu,92.8,3,complete,1,,0.928
113,113,Anvido,Anvido,0.0999999999999943,3,complete,1,,0.001
114,114,Biopeligro,Biopeligro,0.0,3,complete,1,,0.0
115,115,Caadiazsi,Caadiazsi,0.0,3,complete,1,,0.0
116,116,DavidsMartinez,DavidsMartinez,0.0,3,complete,1,,0.0
117,117,DiegoAraque1207,DiegoAraque1207,0.2999999999999971,3,complete,1,,0.003
118,118,GabrielUnal,GabrielUnal,0.0,3,complete,1,,0.0
119,119,Gavnic,Gavnic,65.5,3,complete,1,,0.655
120,120,Gusgal03,Gusgal03,0.0,3,complete,1,,0.0
121,121,Joacampora,Joacampora,74.8,3,complete,1,,0.748
122,122,Juankmilo97,Juankmilo97,0.9000000000000057,3,complete,1,,0.009
123,123,Jufcardenasmo,Jufcardenasmo,51.4,3,complete,1,,0.514
124,124,Ozai98,Ozai98,13.900000000000006,3,complete,1,,0.139
125,125,Sariilan,Sariilan,0.0,3,complete,1,,0.0
126,126,bsdiaza,bsdiaza,73.4,3,complete,1,,0.734
127,127,casc3798,casc3798,0.0,3,complete,1,,0.0
128,128,diefrodriguezcha,diefrodriguezcha,17.400000000000006,3,complete,1,,0.174
129,129,facuellarg,facuellarg,72.4,3,complete,1,,0.724
130,130,federgolo,federgolo,19.099999999999994,3,complete,1,,0.191
131,131,garayf,garayf,0.2000000000000028,3,complete,1,,0.002
132,132,jaleonro,jaleonro,13.799999999999995,3,complete,1,,0.138
133,133,jsalcinar,jsalcinar,9.299999999999995,3,complete,1,,0.093
134,134,jssanchezo,jssanchezo,0.0,3,complete,1,,0.0
135,135,nviverosb,nviverosb,0.2999999999999971,3,complete,1,,0.003
136,136,olimita,olimita,4.400000000000006,3,complete,1,,0.044
137,137,sebcamacho1703,sebcamacho1703,40.1,3,complete,1,,0.401
138,138,serbatero,serbatero,0.0,3,complete,1,,0.0
139,139,xFortich,xFortich,32.900000000000006,3,complete,1,,0.329
140,140,yaochoal,yaochoal,0.2999999999999971,3,complete,1,,0.003
141,141,Alekzu,Alekzu,71.2,4,complete,1,,0.712
142,142,Anvido,Anvido,0.0,4,complete,1,,0.0
143,143,Biopeligro,Biopeligro,90.3,4,complete,1,,0.903
144,144,Caadiazsi,Caadiazsi,0.0,4,complete,1,,0.0
145,145,DavidsMartinez,DavidsMartinez,0.0,4,complete,1,,0.0
146,146,DiegoAraque1207,DiegoAraque1207,12.700000000000005,4,complete,1,,0.127
147,147,GabrielUnal,GabrielUnal,54.9,4,complete,1,,0.549
148,148,Gavnic,Gavnic,68.4,4,complete,1,,0.684
149,149,Gusgal03,Gusgal03,0.0,4,complete,1,,0.0
150,150,Joacampora,Joacampora,6.299999999999997,4,complete,1,,0.063
151,151,Juankmilo97,Juankmilo97,15.599999999999994,4,complete,1,,0.156
152,152,Jufcardenasmo,Jufcardenasmo,75.9,4,complete,1,,0.759
153,153,Ozai98,Ozai98,0.0,4,complete,1,,0.0
154,154,Sariilan,Sariilan,0.0,4,complete,1,,0.0
155,155,bsdiaza,bsdiaza,14.599999999999994,4,complete,1,,0.146
156,156,casc3798,casc3798,52.4,4,complete,1,,0.524
157,157,diefrodriguezcha,diefrodriguezcha,73.5,4,complete,1,,0.735
158,158,facuellarg,facuellarg,0.0,4,complete,1,,0.0
159,159,federgolo,federgolo,8.5,4,complete,1,,0.085
160,160,garayf,garayf,0.0,4,complete,1,,0.0
161,161,jaleonro,jaleonro,15.200000000000005,4,complete,1,,0.152
162,162,jsalcinar,jsalcinar,13.799999999999995,4,complete,1,,0.138
163,163,jssanchezo,jssanchezo,0.0,4,complete,1,,0.0
164,164,nviverosb,nviverosb,0.9000000000000057,4,complete,1,,0.009
165,165,olimita,olimita,1.7000000000000028,4,complete,1,,0.017
166,166,sebcamacho1703,sebcamacho1703,19.099999999999994,4,complete,1,,0.191
167,167,serbatero,serbatero,58.5,4,complete,1,,0.585
168,168,xFortich,xFortich,0.0999999999999943,4,complete,1,,0.001
169,169,yaochoal,yaochoal,0.7000000000000028,4,complete,1,,0.007
0,0,biherrerap,biherrerap,50.0,1,functions,0,0.5,0.5
1,1,SionHu,SionHu,11.76470588235294,1,functions,0,0.117647,0.117647
2,2,littlex2015,littlex2015,17.647058823529413,1,functions,0,0.176471,0.176471
3,3,Nigogu,Nigogu,66.66666666666666,1,functions,0,0.666667,0.666667
4,4,AkaGar,AkaGar,54.54545454545454,1,functions,0,0.545455,0.545455
5,5,ko68,ko68,24.390243902439025,1,functions,0,0.243902,0.243902
6,6,whipplem123,whipplem123,80.0,1,functions,0,0.8,0.8
7,7,jmamaril25,jmamaril25,62.5,1,functions,0,0.625,0.625
8,8,Alekzu,Alekzu,100.0,1,functions,0,0.9,1.0
9,9,nbraunec,nbraunec,100.0,1,functions,0,0.9,1.0
10,10,Ilyumzhinov,Ilyumzhinov,100.0,1,functions,0,0.9,1.0
11,11,Camiioo,Camiioo,100.0,1,functions,0,0.9,1.0
12,12,Gavnic,Gavnic,100.0,1,functions,0,0.9,1.0
13,13,Sariilan,Sariilan,100.0,1,functions,0,0.9,1.0
14,14,nviverosb,nviverosb,59.25925925925925,1,functions,0,0.592593,0.592593
15,15,dieguischa,dieguischa,5.88235294117647,1,functions,0,0.058824,0.058824
16,16,Acreed21,Acreed21,25.0,1,functions,0,0.25,0.25
17,17,ecottle,ecottle,57.14285714285714,1,functions,0,0.571429,0.571429
18,18,Ozai98,Ozai98,100.0,1,functions,0,0.9,1.0
19,19,Daryhez,Daryhez,4.761904761904762,1,functions,0,0.047619,0.047619
20,20,sanjitsama,sanjitsama,5.88235294117647,1,functions,0,0.058824,0.058824
21,21,DiegoAraque1207,DiegoAraque1207,60.0,1,functions,0,0.6,0.6
22,22,SergioLopez40,SergioLopez40,100.0,1,functions,0,0.9,1.0
23,23,yaochoal,yaochoal,15.0,1,functions,0,0.15,0.15
24,24,viswapurdue,viswapurdue,10.0,1,functions,0,0.1,0.1
25,25,matson3,matson3,1.282051282051282,1,functions,0,0.012821,0.012821
26,26,laurenjank,laurenjank,50.0,2,functions,0,0.5,0.5
27,27,JorgeTorresC,JorgeTorresC,100.0,2,functions,0,0.9,1.0
28,28,LukasMMarinovic,LukasMMarinovic,33.33333333333333,2,functions,0,0.333333,0.333333
29,29,daapinzonch,daapinzonch,25.0,2,functions,0,0.25,0.25
30,30,bzin22,bzin22,7.4074074074074066,2,functions,0,0.074074,0.074074
31,31,bfprietoc,bfprietoc,100.0,2,functions,0,0.9,1.0
32,32,frnkbs,frnkbs,57.14285714285714,2,functions,0,0.571429,0.571429
33,33,lennwgs,lennwgs,100.0,2,functions,0,0.9,1.0
34,34,vvargasd,vvargasd,100.0,2,functions,0,0.9,1.0
35,35,CampbellC2,CampbellC2,12.5,2,functions,0,0.125,0.125
36,36,Orloffyeah,Orloffyeah,33.33333333333333,2,functions,0,0.333333,0.333333
37,37,GeoffYart,GeoffYart,64.28571428571429,2,functions,0,0.642857,0.642857
38,38,aclipfel,aclipfel,100.0,2,functions,0,0.9,1.0
39,39,anythinglord,anythinglord,12.0,2,functions,0,0.12,0.12
40,40,Jfcastroh,Jfcastroh,100.0,2,functions,0,0.9,1.0
41,41,biherrerap,biherrerap,100.0,2,functions,0,0.9,1.0
42,42,Ilyumzhinov,Ilyumzhinov,100.0,2,functions,0,0.9,1.0
43,43,nbraunec,nbraunec,12.5,2,functions,0,0.125,0.125
44,44,ecottle,ecottle,66.66666666666666,2,functions,0,0.666667,0.666667
45,45,Ozai98,Ozai98,78.57142857142857,2,functions,0,0.785714,0.785714
46,46,dieguischa,dieguischa,2.34375,2,functions,0,0.023438,0.023438
47,47,Acreed21,Acreed21,100.0,2,functions,0,0.9,1.0
48,48,mdecloedt,mdecloedt,68.0,3,functions,0,0.68,0.68
49,49,zhao744,zhao744,27.058823529411764,3,functions,0,0.270588,0.270588
50,50,daapinzonch,daapinzonch,12.0,3,functions,0,0.12,0.12
51,51,shivans,shivans,100.0,3,functions,0,0.9,1.0
52,52,criscapunal,criscapunal,82.85714285714286,3,functions,0,0.828571,0.828571
53,53,JorgeTorresC,JorgeTorresC,100.0,3,functions,0,0.9,1.0
54,54,LukasMMarinovic,LukasMMarinovic,100.0,3,functions,0,0.9,1.0
55,55,LauraMolina,LauraMolina,100.0,3,functions,0,0.9,1.0
56,56,bzin22,bzin22,29.310344827586203,3,functions,0,0.293103,0.293103
57,57,CampbellC2,CampbellC2,10.256410256410255,3,functions,0,0.102564,0.102564
58,58,Joacampora,Joacampora,80.0,3,functions,0,0.8,0.8
59,59,aclipfel,aclipfel,100.0,3,functions,0,0.9,1.0
60,60,Alekzu,Alekzu,50.0,3,functions,0,0.5,0.5
61,61,whipplem123,whipplem123,100.0,3,functions,0,0.9,1.0
62,62,Nigogu,Nigogu,36.17021276595745,3,functions,0,0.361702,0.361702
63,63,Sariilan,Sariilan,100.0,3,functions,0,0.9,1.0
64,64,nviverosb,nviverosb,66.66666666666666,3,functions,0,0.666667,0.666667
65,65,Gavnic,Gavnic,28.57142857142857,3,functions,0,0.285714,0.285714
66,66,Ilyumzhinov,Ilyumzhinov,100.0,3,functions,0,0.9,1.0
67,67,matson3,matson3,69.56521739130434,3,functions,0,0.695652,0.695652
68,68,viswapurdue,viswapurdue,8.823529411764707,3,functions,0,0.088235,0.088235
69,69,yaochoal,yaochoal,26.666666666666668,3,functions,0,0.266667,0.266667
70,70,DiegoAraque1207,DiegoAraque1207,28.57142857142857,3,functions,0,0.285714,0.285714
71,71,Daryhez,Daryhez,100.0,3,functions,0,0.9,1.0
72,72,daapinzonch,daapinzonch,9.375,4,functions,0,0.09375,0.09375
73,73,daapinzonch,daapinzonch,57.89473684210527,4,functions,0,0.578947,0.578947
74,74,mdecloedt,mdecloedt,53.333333333333336,4,functions,0,0.533333,0.533333
75,75,zhao744,zhao744,87.8048780487805,4,functions,0,0.878049,0.878049
76,76,hihms,hihms,94.11764705882352,4,functions,0,0.941176,0.941176
77,77,shivans,shivans,100.0,4,functions,0,0.9,1.0
78,78,jmhunter4711,jmhunter4711,100.0,4,functions,0,0.9,1.0
79,79,criscapunal,criscapunal,60.0,4,functions,0,0.6,0.6
80,80,LauraMolina,LauraMolina,100.0,4,functions,0,0.9,1.0
81,81,olimita,olimita,91.25,4,functions,0,0.9125,0.9125
82,82,snugghash,snugghash,77.77777777777779,4,functions,0,0.777778,0.777778
83,83,Joacampora,Joacampora,79.36507936507937,4,functions,0,0.793651,0.793651
84,84,littlex2015,littlex2015,100.0,4,functions,0,0.9,1.0
85,85,SionHu,SionHu,100.0,4,functions,0,0.9,1.0
86,86,Alekzu,Alekzu,50.0,4,functions,0,0.5,0.5
87,87,jmamaril25,jmamaril25,57.65765765765766,4,functions,0,0.576577,0.576577
88,88,whipplem123,whipplem123,87.5,4,functions,0,0.875,0.875
89,89,AkaGar,AkaGar,73.07692307692307,4,functions,0,0.730769,0.730769
90,90,ko68,ko68,52.87356321839081,4,functions,0,0.528736,0.528736
91,91,Nigogu,Nigogu,91.83673469387756,4,functions,0,0.918367,0.918367
92,92,Sariilan,Sariilan,100.0,4,functions,0,0.9,1.0
93,93,nviverosb,nviverosb,4.761904761904762,4,functions,0,0.047619,0.047619
94,94,Gavnic,Gavnic,100.0,4,functions,0,0.9,1.0
95,95,Camiioo,Camiioo,100.0,4,functions,0,0.9,1.0
96,96,matson3,matson3,45.0261780104712,4,functions,0,0.450262,0.450262
97,97,yaochoal,yaochoal,8.51063829787234,4,functions,0,0.085106,0.085106
98,98,viswapurdue,viswapurdue,100.0,4,functions,0,0.9,1.0
99,99,SergioLopez40,SergioLopez40,50.0,4,functions,0,0.5,0.5
100,100,DiegoAraque1207,DiegoAraque1207,52.5,4,functions,0,0.525,0.525
101,101,sanjitsama,sanjitsama,100.0,4,functions,0,0.9,1.0
102,102,Daryhez,Daryhez,100.0,4,functions,0,0.9,1.0
103,103,BrandonAvilanR,BrandonAvilanR,60.7,1,complete,0,0.607,0.607
104,104,DaniCastel,DaniCastel,87.8,1,complete,0,0.878,0.878
105,105,DaveValencia,DaveValencia,67.4,1,complete,0,0.674,0.674
106,106,Orloffyeah,Orloffyeah,27.3,1,complete,0,0.273,0.273
107,107,alejosaur,alejosaur,0.0999999999999943,1,complete,0,0.001,0.001
108,108,anythinglord,anythinglord,50.6,1,complete,0,0.506,0.506
109,109,buendiagon,buendiagon,67.4,1,complete,0,0.674,0.674
110,110,cglaitong,cglaitong,5.700000000000003,1,complete,0,0.057,0.057
111,111,criscapunal,criscapunal,43.6,1,complete,0,0.436,0.436
112,112,csalfonsol,csalfonsol,87.6,1,complete,0,0.876,0.876
113,113,dieguischa,dieguischa,22.8,1,complete,0,0.228,0.228
114,114,jaasuarezvi,jaasuarezvi,67.4,1,complete,0,0.674,0.674
115,115,tres-xxx,tres-xxx,67.4,1,complete,0,0.674,0.674
116,116,BrandonAvilanR,BrandonAvilanR,60.8,2,complete,0,0.608,0.608
117,117,DaniCastel,DaniCastel,36.0,2,complete,0,0.36,0.36
118,118,DaveValencia,DaveValencia,67.4,2,complete,0,0.674,0.674
119,119,Orloffyeah,Orloffyeah,25.200000000000003,2,complete,0,0.252,0.252
120,120,alejosaur,alejosaur,0.0,2,complete,0,0.1,0.0
121,121,anythinglord,anythinglord,77.3,2,complete,0,0.773,0.773
122,122,buendiagon,buendiagon,67.4,2,complete,0,0.674,0.674
123,123,cglaitong,cglaitong,20.5,2,complete,0,0.205,0.205
124,124,criscapunal,criscapunal,59.1,2,complete,0,0.591,0.591
125,125,csalfonsol,csalfonsol,76.1,2,complete,0,0.761,0.761
126,126,dieguischa,dieguischa,16.5,2,complete,0,0.165,0.165
127,127,jaasuarezvi,jaasuarezvi,67.4,2,complete,0,0.674,0.674
128,128,tres-xxx,tres-xxx,67.4,2,complete,0,0.674,0.674
129,129,BrandonAvilanR,BrandonAvilanR,38.3,3,complete,0,0.383,0.383
130,130,DSFarfanF,DSFarfanF,67.4,3,complete,0,0.674,0.674
131,131,DaniCastel,DaniCastel,79.7,3,complete,0,0.797,0.797
132,132,DaveValencia,DaveValencia,67.4,3,complete,0,0.674,0.674
133,133,JorgeTorresC,JorgeTorresC,29.099999999999994,3,complete,0,0.291,0.291
134,134,Orloffyeah,Orloffyeah,24.8,3,complete,0,0.248,0.248
135,135,Saariasba,Saariasba,100.0,3,complete,0,0.9,1.0
136,136,SergioLopez40,SergioLopez40,71.2,3,complete,0,0.712,0.712
137,137,alejosaur,alejosaur,0.0,3,complete,0,0.1,0.0
138,138,anythinglord,anythinglord,39.2,3,complete,0,0.392,0.392
139,139,buendiagon,buendiagon,67.4,3,complete,0,0.674,0.674
140,140,cglaitong,cglaitong,21.099999999999994,3,complete,0,0.211,0.211
141,141,criscapunal,criscapunal,41.7,3,complete,0,0.417,0.417
142,142,csalfonsol,csalfonsol,71.3,3,complete,0,0.713,0.713
143,143,daapinzonch,daapinzonch,53.0,3,complete,0,0.53,0.53
144,144,dcastanedar,dcastanedar,35.5,3,complete,0,0.355,0.355
145,145,dieguischa,dieguischa,64.6,3,complete,0,0.646,0.646
146,146,jaasuarezvi,jaasuarezvi,67.4,3,complete,0,0.674,0.674
147,147,jdsolanos,jdsolanos,54.2,3,complete,0,0.542,0.542
148,148,tres-xxx,tres-xxx,67.4,3,complete,0,0.674,0.674
149,149,trickyjuggler,trickyjuggler,67.1,3,complete,0,0.671,0.671
150,150,BrandonAvilanR,BrandonAvilanR,53.7,4,complete,0,0.537,0.537
151,151,DSFarfanF,DSFarfanF,0.0,4,complete,0,0.1,0.0
152,152,DaniCastel,DaniCastel,29.0,4,complete,0,0.29,0.29
153,153,DaveValencia,DaveValencia,0.0,4,complete,0,0.1,0.0
154,154,JorgeTorresC,JorgeTorresC,6.599999999999994,4,complete,0,0.066,0.066
155,155,Orloffyeah,Orloffyeah,21.8,4,complete,0,0.218,0.218
156,156,Saariasba,Saariasba,100.0,4,complete,0,0.9,1.0
157,157,SergioLopez40,SergioLopez40,0.0999999999999943,4,complete,0,0.001,0.001
158,158,alejosaur,alejosaur,0.0,4,complete,0,0.1,0.0
159,159,anythinglord,anythinglord,27.8,4,complete,0,0.278,0.278
160,160,buendiagon,buendiagon,0.0,4,complete,0,0.1,0.0
161,161,cglaitong,cglaitong,0.0,4,complete,0,0.1,0.0
162,162,criscapunal,criscapunal,34.7,4,complete,0,0.347,0.347
163,163,csalfonsol,csalfonsol,22.8,4,complete,0,0.228,0.228
164,164,daapinzonch,daapinzonch,50.6,4,complete,0,0.506,0.506
165,165,dcastanedar,dcastanedar,81.8,4,complete,0,0.818,0.818
166,166,dieguischa,dieguischa,0.0,4,complete,0,0.1,0.0
167,167,jaasuarezvi,jaasuarezvi,0.0,4,complete,0,0.1,0.0
168,168,jdsolanos,jdsolanos,50.6,4,complete,0,0.506,0.506
169,169,tres-xxx,tres-xxx,0.0,4,complete,0,0.1,0.0
170,170,trickyjuggler,trickyjuggler,40.9,4,complete,0,0.409,0.409
